# s  xi0  xi2
5.200000000000000000e+01 1.575262323084651583e-02 -2.888639053904419607e-02
5.600000000000000000e+01 1.204030158099837593e-02 -2.478743699924729899e-02
6.000000000000000000e+01 9.232693216809619019e-03 -2.141639519171590136e-02
6.400000000000000000e+01 7.100266483818797568e-03 -1.860978601270579444e-02
6.800000000000000000e+01 5.408256718993140373e-03 -1.626989867848192134e-02
7.200000000000000000e+01 4.121974582895053876e-03 -1.425266237958972872e-02
7.600000000000000000e+01 3.161231336803725558e-03 -1.248782886810872496e-02
8.000000000000000000e+01 2.523243882063434980e-03 -1.091951619591913572e-02
8.400000000000000000e+01 2.262577742030978754e-03 -9.521435865391484135e-03
8.800000000000000000e+01 2.330682269083091465e-03 -8.325748514642931572e-03
9.200000000000000000e+01 2.626157685384164411e-03 -7.337316752291716745e-03
9.600000000000000000e+01 2.933863024517695262e-03 -6.530190847828358687e-03
1.000000000000000000e+02 3.015340017161422925e-03 -5.867323115008875496e-03
1.040000000000000000e+02 2.771160700672316117e-03 -5.313684333038338169e-03
1.080000000000000000e+02 2.233266923763176873e-03 -4.873715006839489730e-03
1.120000000000000000e+02 1.543388088151443965e-03 -4.548257933761019021e-03
1.160000000000000000e+02 8.642642565081904522e-04 -4.308311898255053236e-03
1.200000000000000000e+02 2.899634272272375978e-04 -4.116054340201272602e-03
1.240000000000000000e+02 -1.377526117161183706e-04 -3.929265719731039018e-03
1.280000000000000000e+02 -4.258892743646671493e-04 -3.727004897615041230e-03
1.320000000000000000e+02 -6.058781649295062657e-04 -3.507554982711706248e-03
1.360000000000000000e+02 -7.032480976418204778e-04 -3.274519215080674665e-03
1.400000000000000000e+02 -7.481511224498939338e-04 -3.038919011941101055e-03
1.440000000000000000e+02 -7.593631730848893983e-04 -2.808856148302227469e-03
1.480000000000000000e+02 -7.477006051530671023e-04 -2.588204790599154051e-03
